attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage
59.62,52.07,80.54,4.23,14,1,1.15,Manager,67.36
91.54,87.29,0.81,8.3,6,4,4.89,Team Lead,100.0
64.47,47.07,60.68,4.32,6,1,1.52,Team Lead,57.34
64.63,40.94,70.96,5.48,9,2,1.65,HR,63.92
53.91,59.9,85.46,4.34,13,3,1.74,Employee,64.75
88.63,89.17,25.15,9.1,6,2,4.57,Team Lead,100.0
87.58,98.84,27.57,9.61,13,1,4.27,HR,100.0
77.99,77.44,33.21,7.94,7,5,3.27,Employee,96.15
71.53,66.69,39.45,6.2,6,3,3.07,Manager,82.38
91.95,97.16,9.89,9.65,5,2,4.93,Team Lead,100.0
93.86,88.4,22.85,9.06,5,4,4.51,Manager,100.0
79.93,73.48,51.12,7.32,4,1,3.55,Team Lead,92.15
77.99,72.04,42.43,6.84,12,2,3.96,Team Lead,100.0
56.61,54.68,80.0,4.05,5,4,1.59,Manager,44.76
65.97,41.12,89.22,5.34,5,2,1.07,Employee,49.06
61.98,60.47,75.39,5.39,13,2,2.46,HR,79.83
97.4,81.21,4.06,9.85,1,3,4.13,HR,100.0
54.33,45.15,66.2,4.01,12,3,1.27,Employee,58.28
69.61,48.03,66.2,4.78,1,2,2.08,Team Lead,50.84
65.51,50.37,64.08,5.4,13,4,1.4,Employee,70.63
54.33,51.89,61.51,5.99,14,1,1.67,Team Lead,81.14
89.29,86.74,10.46,8.4,3,2,4.93,Team Lead,100.0
99.15,82.29,5.68,8.43,8,5,4.39,Team Lead,100.0
71.05,72.25,52.26,6.39,2,2,3.66,Employee,79.19
81.05,73.33,55.77,6.18,2,5,2.52,Employee,68.62
83.68,74.34,43.35,7.45,14,3,3.0,HR,100.0
73.83,79.38,44.44,6.26,4,3,3.12,Employee,82.29
80.51,65.08,39.42,6.37,13,1,3.92,Team Lead,100.0
64.13,40.79,88.09,4.1,2,4,1.81,Team Lead,36.23
90.14,87.11,20.31,8.29,10,4,4.47,HR,100.0
52.68,43.05,73.63,5.53,4,3,2.44,Manager,53.21
88.15,83.98,28.22,9.52,5,2,4.7,HR,100.0
96.56,96.47,3.02,9.86,10,5,4.48,Employee,100.0
56.95,59.34,75.31,5.75,6,2,2.42,Team Lead,65.82
73.44,76.13,50.92,7.5,5,1,2.69,Employee,89.97
53.34,42.46,77.73,5.48,6,1,1.22,Manager,54.06
63.39,46.86,83.85,5.67,9,2,1.77,Team Lead,64.33
81.81,76.3,57.65,6.43,10,5,3.74,Manager,92.66
93.82,95.03,12.73,8.95,5,4,4.43,Team Lead,100.0
51.93,57.41,69.12,5.71,13,5,2.09,Team Lead,71.38
88.25,89.13,25.1,9.81,14,4,4.79,Employee,100.0
94.71,81.79,14.56,9.87,9,2,4.11,HR,100.0
95.54,95.35,23.48,9.84,2,3,4.98,Team Lead,100.0
90.82,82.91,6.9,9.24,4,3,4.07,Team Lead,100.0
66.18,57.15,76.94,4.74,8,1,2.38,Employee,67.91
86.75,87.36,0.76,9.29,13,4,4.89,Manager,100.0
67.39,44.73,73.44,5.25,6,3,2.25,Team Lead,59.08
58.39,64.79,81.59,4.44,8,5,2.1,HR,56.42
91.12,85.06,15.95,8.94,6,5,5.0,Team Lead,100.0
88.67,94.12,4.7,8.58,7,2,4.21,HR,100.0
62.65,62.24,82.84,5.04,6,2,1.85,Employee,60.21
84.36,78.68,43.49,7.89,1,2,3.59,Manager,91.41
50.53,64.05,70.55,5.15,3,3,1.48,Manager,50.87
64.82,46.51,81.41,5.37,13,5,1.54,Employee,64.46
76.54,73.34,42.15,6.42,3,3,3.39,Team Lead,81.76
