attendance_consistency,task_completion,task_delay_rate,work_hours,productive_hours,idle_time_hours,overtime_hours,experience,feedback_score,project_complexity,peer_collaboration_score,manager_rating,training_hours,learning_inde,performance_percentage,role
0.85,71.0,0.02,9.9,9.0,0.9,3,12,3,4,5,3,7.0,0.73,82.0,0.0
0.8,92.0,0.17,8.6,7.0,1.6,2,4,5,2,5,3,2.0,0.97,96.0,0.0
0.77,82.0,0.23,7.9,7.4,0.5,2,11,5,5,3,5,3.0,0.91,100.0,0.0
0.85,75.0,0.16,6.7,5.9,0.8,5,0,3,5,5,2,5.0,0.4,74.0,0.0
0.7,88.0,0.08,8.0,6.6,1.4,0,2,5,4,4,4,8.0,0.77,89.0,0.0
0.74,81.0,0.17,7.1,6.7,0.4,4,1,1,3,4,2,2.0,0.94,93.0,0.0
0.8,66.0,0.14,8.3,7.6,0.7,5,1,1,2,1,3,5.0,0.58,91.0,0.0
0.86,90.0,0.11,8.6,8.4,0.2,1,0,3,2,2,5,9.0,0.54,85.0,0.0
0.9,88.0,0.06,8.3,7.2,1.1,3,3,3,5,5,3,7.0,0.75,87.0,0.0
0.77,100.0,0.07,8.0,6.4,1.6,6,1,4,3,4,3,7.0,0.4,94.0,0.0
0.9,86.0,0.07,7.0,5.5,1.5,1,16,5,5,5,5,7.0,0.62,93.0,0.0
0.8,92.0,0.15,8.4,7.1,1.3,1,0,3,5,4,3,5.0,0.92,83.0,1.0
0.89,73.0,0.06,8.3,7.6,0.7,2,1,4,3,5,5,6.0,0.55,93.0,1.0
0.78,99.0,0.05,7.1,5.9,1.2,0,2,4,1,4,3,5.0,0.74,100.0,0.0
1.0,76.0,0.02,10.0,9.1,0.9,2,2,5,2,5,5,4.0,0.73,95.0,0.0
0.97,91.0,0.05,9.1,8.8,0.3,0,1,4,4,3,4,10.5,0.99,95.0,1.0
0.73,73.0,0.11,7.0,6.0,1.0,2,6,4,5,5,3,5.0,0.3,83.0,0.0
0.69,97.0,0.02,8.1,6.6,1.5,1,7,2,4,3,3,4.0,0.81,97.0,0.0
0.86,94.0,0.06,7.1,6.1,1.0,3,0,4,5,3,3,2.0,0.91,78.0,0.0
