attendance_consistency,task_completion,task_delay_rate,productive_hours,experience,project_complexity,feedback_score,role,performance_percentage,efficiency_score,exp_productivity
59.62,52.07,80.54,4.23,14,1,1.15,Manager,67.36,-28.470000000000006,10.152000000000001
91.54,87.29,0.81,8.3,6,4,4.89,Team Lead,100.0,86.48,13.280000000000001
64.47,47.07,60.68,4.32,6,1,1.52,Team Lead,57.34,-13.61,6.912000000000001
64.63,40.94,70.96,5.48,9,2,1.65,HR,63.92,-30.019999999999996,10.412
53.91,59.9,85.46,4.34,13,3,1.74,Employee,64.75,-25.559999999999995,9.982
88.63,89.17,25.15,9.1,6,2,4.57,Team Lead,100.0,64.02000000000001,14.56
87.58,98.84,27.57,9.61,13,1,4.27,HR,100.0,71.27000000000001,22.102999999999998
77.99,77.44,33.21,7.94,7,5,3.27,Employee,96.15,44.23,13.498000000000001
71.53,66.69,39.45,6.2,6,3,3.07,Manager,82.38,27.239999999999995,9.920000000000002
91.95,97.16,9.89,9.65,5,2,4.93,Team Lead,100.0,87.27,14.475000000000001
93.86,88.4,22.85,9.06,5,4,4.51,Manager,100.0,65.55000000000001,13.59
79.93,73.48,51.12,7.32,4,1,3.55,Team Lead,92.15,22.360000000000007,10.248
77.99,72.04,42.43,6.84,12,2,3.96,Team Lead,100.0,29.610000000000007,15.048
56.61,54.68,80.0,4.05,5,4,1.59,Manager,44.76,-25.32,6.074999999999999
65.97,41.12,89.22,5.34,5,2,1.07,Employee,49.06,-48.1,8.01
61.98,60.47,75.39,5.39,13,2,2.46,HR,79.83,-14.920000000000002,12.396999999999998
97.4,81.21,4.06,9.85,1,3,4.13,HR,100.0,77.14999999999999,10.835
54.33,45.15,66.2,4.01,12,3,1.27,Employee,58.28,-21.050000000000004,8.822000000000001
69.61,48.03,66.2,4.78,1,2,2.08,Team Lead,50.84,-18.17,5.258000000000001
65.51,50.37,64.08,5.4,13,4,1.4,Employee,70.63,-13.71,12.42
54.33,51.89,61.51,5.99,14,1,1.67,Team Lead,81.14,-9.619999999999997,14.376
89.29,86.74,10.46,8.4,3,2,4.93,Team Lead,100.0,76.28,10.920000000000002
99.15,82.29,5.68,8.43,8,5,4.39,Team Lead,100.0,76.61000000000001,15.174
71.05,72.25,52.26,6.39,2,2,3.66,Employee,79.19,19.990000000000002,7.667999999999999
81.05,73.33,55.77,6.18,2,5,2.52,Employee,68.62,17.559999999999995,7.4159999999999995
83.68,74.34,43.35,7.45,14,3,3.0,HR,100.0,30.990000000000002,17.88
73.83,79.38,44.44,6.26,4,3,3.12,Employee,82.29,34.94,8.764
80.51,65.08,39.42,6.37,13,1,3.92,Team Lead,100.0,25.659999999999997,14.651
64.13,40.79,88.09,4.1,2,4,1.81,Team Lead,36.23,-47.300000000000004,4.919999999999999
90.14,87.11,20.31,8.29,10,4,4.47,HR,100.0,66.8,16.58
52.68,43.05,73.63,5.53,4,3,2.44,Manager,53.21,-30.58,7.742
88.15,83.98,28.22,9.52,5,2,4.7,HR,100.0,55.760000000000005,14.28
96.56,96.47,3.02,9.86,10,5,4.48,Employee,100.0,93.45,19.72
56.95,59.34,75.31,5.75,6,2,2.42,Team Lead,65.82,-15.969999999999999,9.200000000000001
73.44,76.13,50.92,7.5,5,1,2.69,Employee,89.97,25.209999999999994,11.25
53.34,42.46,77.73,5.48,6,1,1.22,Manager,54.06,-35.27,8.768
